identity,emotion,sentence_id,vc_system,lipsync_system,output_video,lse_c,lse_d,avsu,avsm,lmd,ssim,cpbd,wavlm_sim,mel_sim,wer
Lisset,emotional,c01,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/Lisset_emotional_c01.mp4,0.5693483744047538,0.30870874822047545,-0.08620302869073992,0.00380416874687807,2.9345908134024503,0.9205341092371677,40.50593833899378,0.9726999998092651,0.21211223304271698,0.0
Lisset,emotional,c02,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/Lisset_emotional_c02.mp4,0.3784297682582781,0.4405048535089705,-0.04589554768530187,0.12071797480829247,2.6326044604454473,0.9216731504203174,49.08342838594719,0.9610869288444519,0.5372915267944336,0.0
Maisa,neutral,c01,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/Maisa_neutral_c01.mp4,0.478786578717418,0.3551261464553619,-0.1375273452691471,0.016229730496903738,1.8852788114118808,0.9394868325239849,96.34547278214811,0.9421693682670593,0.23947329819202423,0.0
Maisa,neutral,c02,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/Maisa_neutral_c02.mp4,0.4187796610024822,0.47386727257485195,0.3242844404345658,0.5751941095943114,2.075883393616407,0.9443232415216015,89.52485918104782,0.9401429295539856,0.12702584266662598,0.6666666666666666
Maisa,emotional,c01,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/Maisa_emotional_c01.mp4,0.49079386550749554,0.4267726266444355,0.03283353573387253,0.014561222440639753,3.0557199097828396,0.9272698415623689,154.298205026499,0.8705739974975586,0.21127961575984955,1.0
Maisa,emotional,c02,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/Maisa_emotional_c02.mp4,0.3753583606934647,0.5802064834912652,0.27156979603324033,0.011220938254292434,2.7966079415354645,0.9229886362024255,148.88298795392063,0.9434040784835815,0.15157179534435272,0.0
Selene,neutral,c01,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/Selene_neutral_c01.mp4,0.4704774271896616,0.45416863491855286,0.05006171578622953,0.026519261929637272,2.853429210758502,0.9425896049742793,85.48117311326745,0.8953133821487427,0.0849621593952179,2.0
Selene,neutral,c02,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/Selene_neutral_c02.mp4,0.3106006916980212,0.647911167134425,0.0033651041165024325,0.01110495487017724,2.851002518762274,0.9405299074863571,78.63109950611485,0.856874942779541,0.0645294263958931,0.0
Selene,emotional,c01,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/Selene_emotional_c01.mp4,0.3191822548569822,0.5831305584102477,-0.19183801736430667,0.022346948055420257,3.0797256514808633,0.9368335381383827,98.35787505461379,0.9413110613822937,0.11375128477811813,2.6666666666666665
Selene,emotional,c02,openvoice_v2,wav2lip,data/generated/openvoice_v2/wav2lip/Selene_emotional_c02.mp4,0.27975948459122824,0.6847225030387997,-0.12288901571950697,0.002903656058949905,3.4128826327567854,0.9349976526012012,104.28543540547986,0.9495753645896912,0.08251065760850906,1.0
George,neutral,c01,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/George_neutral_c01.mp4,0.36134430046882343,0.5290589023647181,0.00408891748206323,0.08974865036739804,11.432409512261692,0.9241216389001536,37.14993569656978,0.6569958925247192,0.09623227268457413,nan
George,neutral,c02,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/George_neutral_c02.mp4,0.16554700995051586,0.8083051588241392,-0.023605550537883147,0.006759605768873137,12.06669429562208,0.9285604144576415,36.79208869895204,0.7852717041969299,0.02438146248459816,1.0
George,emotional,c01,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/George_emotional_c01.mp4,0.25685173258842475,0.6861259888492189,-0.032736595291112225,0.09127646736080444,7.219055453514562,0.9233962939242244,32.49345432144339,0.6603217124938965,0.05551707744598389,1.0
George,emotional,c02,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/George_emotional_c02.mp4,0.19046688647460935,0.7568169686415511,-0.05040815465365188,0.12213908776299405,15.59833048262216,0.9114025728172631,34.37845911168853,0.7933194637298584,0.028330961242318153,1.0
Jordi,neutral,c01,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/Jordi_neutral_c01.mp4,0.17139985253729803,0.8046880066894051,-0.04325164556164636,0.13022997404970071,5.811688344084697,0.8873188477786134,145.08275649239474,0.6356204152107239,0.06548713147640228,1.0
Jordi,neutral,c02,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/Jordi_neutral_c02.mp4,0.21177034143833828,0.7565142805580762,-0.002873607107452007,0.05890315850821693,5.703913185995336,0.8863620221615738,144.92922661344915,0.6440290212631226,0.07617521286010742,1.0
Jordi,emotional,c01,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/Jordi_emotional_c01.mp4,0.18018822111363525,0.7779391611941461,-0.04343492184160006,0.1805543169815345,9.886363206240821,0.8806745130609493,145.97117641406766,0.7486969232559204,0.11660867929458618,1.3333333333333333
Jordi,emotional,c02,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/Jordi_emotional_c02.mp4,0.11640431285827162,0.8541263762733107,0.059579056529112544,0.1532446517354291,9.13059531270732,0.878707652004438,159.26380682803097,0.6040931344032288,0.03888116776943207,1.0
Lisset,neutral,c01,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/Lisset_neutral_c01.mp4,0.1924336307619701,0.7571411398506465,0.00172261748128037,0.007545268843655661,4.3599534912358475,0.9131708522344326,70.91952765702133,0.7416186332702637,0.022205209359526634,1.0
Lisset,neutral,c02,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/Lisset_neutral_c02.mp4,0.15280100184034762,0.8162073605323257,0.005765296892257718,0.05300801365027198,5.837930503943983,0.9134022533232379,76.92435871484564,0.7239318490028381,0.027735978364944458,1.0
Lisset,emotional,c01,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/Lisset_emotional_c01.mp4,0.15775612126336788,0.792892065849227,0.010911512154370424,0.09328192227053725,6.393555748368401,0.9134117362396322,40.81406359614786,0.4923432469367981,0.09775742143392563,1.1666666666666667
Lisset,emotional,c02,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/Lisset_emotional_c02.mp4,0.22499385534088684,0.7328771563647951,0.04025638264958344,0.0346043013302653,6.888317566625057,0.9138779113604055,49.404681136208204,0.6919350028038025,0.14587964117527008,1.0
Maisa,neutral,c01,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/Maisa_neutral_c01.mp4,0.1354724243145366,0.8058152774751342,-0.05471063046994108,0.09918987660905919,4.775246219364437,0.9314099707811241,96.97546261546898,0.7610096335411072,0.08655493706464767,1.5
Maisa,neutral,c02,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/Maisa_neutral_c02.mp4,0.14132066187721248,0.8087971191352049,-0.05841349984645875,0.19256946672192796,4.197857675770852,0.9374740946328661,90.68287301532017,0.6802189946174622,0.06249058619141579,1.3333333333333333
Maisa,emotional,c01,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/Maisa_emotional_c01.mp4,0.23748932461743463,0.6872721694227902,-0.02610762902850107,0.07350196448983626,5.025416332875979,0.9213339291698085,152.07761617405805,0.5848411917686462,0.09651093184947968,1.0
Maisa,emotional,c02,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/Maisa_emotional_c02.mp4,0.39253255867839915,0.5310174411405606,0.06144639609521009,0.22133911783438476,4.277588810165601,0.916654521451706,152.53255742470873,0.7457011342048645,0.025010859593749046,8.0
Selene,neutral,c01,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/Selene_neutral_c01.mp4,0.30321066930366164,0.643406503070655,-0.03044424408008057,0.10702336786574868,6.003523188977032,0.9358748385454435,85.93240038141865,0.6978170871734619,0.04552135989069939,4.0
Selene,neutral,c02,cosyvoice,wav2lip,data/generated/cosyvoice/wav2lip/Selene_neutral_c02.mp4,0.32760084491206026,0.6306097956784286,0.09199776273419928,0.09971523848033766,7.606141682277501,0.9296240761911153,75.93920944050322,0.6547881960868835,0.06103501841425896,1.5
